,state,candidate_name,candidate_incumbant,candidate_winner,candidate_party,candidate_votes,candidate_pct,distrcit_pct_reporting,race
0,Alabama,Katie Britt,False,True,Republican,942154,66.6,99.0,senate
1,Alabama,Will Boyd,False,False,Democrat,436746,30.9,99.0,senate
2,Alabama,John Sophocleus,False,False,Libertarian,32879,2.3,99.0,senate
3,Alabama,Write-ins,False,False,N/A,2459,0.2,99.0,senate
4,Alaska,Lisa Murkowski,True,True,Republican,136330,53.7,96.0,senate
5,Alaska,Kelly Tshibaka,False,False,Republican,117534,46.3,96.0,senate
6,Alaska,Write-ins,False,False,N/A,0,0.0,96.0,senate
7,Alaska,Patricia Chesbro,False,False,Democrat,0,0.0,96.0,senate
8,Alaska,Buzz Kelley,False,False,Republican,0,0.0,96.0,senate
9,Arizona,Mark Kelly,True,True,Democrat,1322027,51.4,99.0,senate
10,Arizona,Blake Masters,False,False,Republican,1196308,46.5,99.0,senate
11,Arizona,Marc Victor,False,False,Libertarian,53762,2.1,99.0,senate
12,Arizona,Write-ins,False,False,N/A,197,0.1,99.0,senate
13,Arkansas,John Boozman,True,True,Republican,592437,65.7,95.0,senate
14,Arkansas,Natalie James,False,False,Democrat,280187,31.1,95.0,senate
15,Arkansas,Kenneth Cates,False,False,Libertarian,28682,3.2,95.0,senate
16,Arkansas,Write-ins,False,False,N/A,307,0.1,95.0,senate
17,California,Alex Padilla,True,True,Democrat,6621616,61.1,99.0,senate
18,California,Mark Meuser,False,False,Republican,4222025,38.9,99.0,senate
19,Colorado,Michael Bennet,True,True,Democrat,1397170,55.9,99.0,senate
20,Colorado,Joe O'Dea,False,False,Republican,1031693,41.3,99.0,senate
21,Colorado,Brian Peotter,False,False,Libertarian,43534,1.7,99.0,senate
22,Colorado,T.J. Cole,False,False,Unity,16379,0.7,99.0,senate
23,Colorado,Frank Atwood,False,False,Approval Voting,11354,0.5,99.0,senate
24,Colorado,Write-ins,False,False,N/A,0,0.0,99.0,senate
25,Connecticut,Richard Blumenthal,True,True,Democrat,723864,57.5,99.0,senate
26,Connecticut,Leora Levy,False,False,Republican,535943,42.5,99.0,senate
27,Connecticut,Write-ins,False,False,N/A,80,0.1,99.0,senate
28,Florida,Marco Rubio,True,True,Republican,4474847,57.7,99.0,senate
29,Florida,Val Demings,False,False,Democrat,3201522,41.3,99.0,senate
30,Florida,Dennis Misigoy,False,False,Libertarian,32177,0.4,99.0,senate
31,Florida,Steven Grant,False,False,No Party Affiliation,31816,0.4,99.0,senate
32,Florida,Tuan Nguyen,False,False,No Party Affiliation,17385,0.2,99.0,senate
33,Florida,Write-ins,False,False,N/A,267,0.1,99.0,senate
34,Georgia,Raphael Warnock,True,False,Democrat,1946117,49.4,99.0,senate
35,Georgia,Herschel Walker,False,False,Republican,1908442,48.5,99.0,senate
36,Georgia,Chase Oliver,False,False,Libertarian,81365,2.1,99.0,senate
37,Georgia,Write-ins,False,False,N/A,0,0.0,99.0,senate
38,Hawaii,Brian Schatz,True,True,Democrat,290894,71.2,99.0,senate
39,Hawaii,Bob McDermott,False,False,Republican,106358,26.0,99.0,senate
40,Hawaii,Feena Bonoan,False,False,Libertarian,4915,1.2,99.0,senate
41,Hawaii,Emma Pohlman,False,False,Green,4142,1.0,99.0,senate
42,Hawaii,Dan Decker,False,False,Aloha Aina,2208,0.5,99.0,senate
43,Idaho,Mike Crapo,True,True,Republican,358539,60.7,99.0,senate
44,Idaho,David Roth,False,False,Democrat,169808,28.7,99.0,senate
45,Idaho,Scott Cleveland,False,False,Independent,49917,8.4,99.0,senate
46,Idaho,Ray Writz,False,False,Constitution,8500,1.4,99.0,senate
47,Idaho,Idaho Sierra Law,False,False,Libertarian,4126,0.7,99.0,senate
48,Idaho,Write-ins,False,False,N/A,0,0.0,99.0,senate
49,Illinois,Tammy Duckworth,True,True,Democrat,2272918,56.4,98.0,senate
50,Illinois,Kathy Salvi,False,False,Republican,1688353,41.9,98.0,senate
51,Illinois,Bill Redpath,False,False,Libertarian,67372,1.7,98.0,senate
52,Illinois,Write-ins,False,False,N/A,771,0.1,98.0,senate
53,Indiana,Todd Young,True,True,Republican,1090390,58.6,98.0,senate
54,Indiana,Thomas McDermott,False,False,Democrat,704480,37.9,98.0,senate
55,Indiana,James Sceniak,False,False,Libertarian,63823,3.4,98.0,senate
56,Indiana,Write-ins,False,False,N/A,1461,0.1,98.0,senate
57,Iowa,Chuck Grassley,True,True,Republican,681507,56.0,99.0,senate
58,Iowa,Michael Franken,False,False,Democrat,533717,43.9,99.0,senate
59,Iowa,Write-ins,False,False,N/A,1804,0.1,99.0,senate
60,Kansas,Jerry Moran,True,True,Republican,595339,60.1,99.0,senate
61,Kansas,Mark Holland,False,False,Democrat,365820,36.9,99.0,senate
62,Kansas,David Graham,False,False,Libertarian,29168,2.9,99.0,senate
63,Kansas,Write-ins,False,False,N/A,152,0.1,99.0,senate
64,Kentucky,Rand Paul,True,True,Republican,913326,61.8,99.0,senate
65,Kentucky,Charles Booker,False,False,Democrat,564311,38.2,99.0,senate
66,Kentucky,Write-ins,False,False,N/A,193,0.1,99.0,senate
67,Louisiana,John Kennedy,True,True,Republican,851568,61.6,99.0,senate
68,Louisiana,Gary Chambers,False,False,Democrat,246933,17.9,99.0,senate
69,Louisiana,Luke Mixon,False,False,Democrat,182887,13.2,99.0,senate
70,Louisiana,Syrita Steib,False,False,Democrat,31568,2.3,99.0,senate
71,Louisiana,Devin Graham,False,False,Republican,25275,1.8,99.0,senate
72,Louisiana,Vinny Mendoza,False,False,Democrat,11910,0.9,99.0,senate
73,Louisiana,Beryl Billiot,False,False,No Party Affiliation,9378,0.7,99.0,senate
74,Louisiana,Salvador Rodriguez,False,False,Democrat,7767,0.6,99.0,senate
75,Louisiana,Bradley McMorris,False,False,Independent,5388,0.4,99.0,senate
76,Louisiana,Aaron Sigler,False,False,Libertarian,4865,0.4,99.0,senate
77,Louisiana,Xan John,False,False,Other,2753,0.2,99.0,senate
78,Louisiana,Thomas Olson,False,False,No Party Affiliation,1676,0.1,99.0,senate
79,Louisiana,Thomas Wenn,False,False,Other,1322,0.1,99.0,senate
80,Maryland,Chris Van Hollen,True,True,Democrat,1316897,65.8,99.0,senate
81,Maryland,Chris Chaffee,False,False,Republican,682293,34.1,99.0,senate
82,Maryland,Write-ins,False,False,N/A,3146,0.2,99.0,senate
83,Missouri,Eric Schmitt,False,True,Republican,1143706,55.4,99.0,senate
84,Missouri,Trudy Busch Valentine,False,False,Democrat,868916,42.1,99.0,senate
85,Missouri,Jonathan Dine,False,False,Libertarian,34707,1.7,99.0,senate
86,Missouri,Paul Venable,False,False,Constitution,14550,0.7,99.0,senate
87,Missouri,Write-ins,False,False,N/A,1353,0.1,99.0,senate
88,Nevada,Catherine Cortez Masto,True,True,Democrat,498316,48.8,99.0,senate
89,Nevada,Adam Laxalt,False,False,Republican,490388,48.0,99.0,senate
90,Nevada,None of these candidates,False,False,None Of The Above,12441,1.2,99.0,senate
91,Nevada,Barry Lindemann,False,False,No Party Designation,8075,0.8,99.0,senate
92,Nevada,Neil Scott,False,False,Libertarian,6422,0.6,99.0,senate
93,Nevada,Barry Rubinson,False,False,Independent American,5208,0.5,99.0,senate
